model_id,model_name,provider,sequence,suite_id,case_id,status,context_mode,context_group,wall_seconds,prompt_tokens,output_tokens,total_tokens,output_tokens_per_second,attempt_count,error_type,error_message
qwen25-coder-7b,qwen2.5-coder:7b,ollama-local,1,sample-json,build-slugify,success,isolated,,95.34300000000076,57,458,515,5.812943587565509,1,,
qwen25-coder-7b,qwen2.5-coder:7b,ollama-local,2,sample-json,diagnose-boundary,success,isolated,,38.29700000000594,56,228,284,6.5009264960770325,1,,
qwen25-coder-7b,qwen2.5-coder:7b,ollama-local,3,sample-json,repair-session-start,success,preserve,repair-session,4.781999999999243,49,13,62,7.211229104076897,1,,
qwen25-coder-7b,qwen2.5-coder:7b,ollama-local,4,sample-json,repair-session-followup,success,preserve,repair-session,45.8440000000046,85,280,365,6.509209811220362,1,,
qwen25-coder-7b,qwen2.5-coder:7b,ollama-local,5,sample-json,plan-resumable-import,success,preserve,planning-session,91.11000000000058,104,563,667,6.503841436761648,1,,
qwen25-coder-7b,qwen2.5-coder:7b,ollama-local,6,sample-json,create-tasks-from-plan,success,preserve,planning-session,173.75,727,1024,1751,6.051068465050517,1,,
qwen25-coder-7b,qwen2.5-coder:7b,ollama-local,7,sample-markdown,review-guard-clause,success,isolated,,25.312000000005355,70,139,209,6.668528417454101,1,,
qwen25-coder-7b,qwen2.5-coder:7b,ollama-local,8,sample-markdown,refuse-secret,success,isolated,,4.921999999998661,58,13,71,7.215023232374809,1,,
deepseek-coder-67b,deepseek-coder:6.7b-instruct,ollama-local,1,sample-json,build-slugify,success,isolated,,73.38999999999942,65,454,519,7.597894646822997,1,,
deepseek-coder-67b,deepseek-coder:6.7b-instruct,ollama-local,2,sample-json,diagnose-boundary,success,isolated,,41.9690000000046,64,295,359,7.733488569353375,1,,
deepseek-coder-67b,deepseek-coder:6.7b-instruct,ollama-local,3,sample-json,repair-session-start,success,preserve,repair-session,28.14100000000326,50,197,247,7.9044326011702175,1,,
deepseek-coder-67b,deepseek-coder:6.7b-instruct,ollama-local,4,sample-json,repair-session-followup,success,preserve,repair-session,49.03100000000268,273,281,554,7.056309728303197,1,,
deepseek-coder-67b,deepseek-coder:6.7b-instruct,ollama-local,5,sample-json,plan-resumable-import,success,preserve,planning-session,68.73399999999674,109,465,574,7.448438902514015,1,,
deepseek-coder-67b,deepseek-coder:6.7b-instruct,ollama-local,6,sample-json,create-tasks-from-plan,success,preserve,planning-session,105.68799999999464,637,673,1310,6.651953034167297,1,,
deepseek-coder-67b,deepseek-coder:6.7b-instruct,ollama-local,7,sample-markdown,review-guard-clause,success,isolated,,23.39100000000326,122,130,252,7.726400778631011,1,,
deepseek-coder-67b,deepseek-coder:6.7b-instruct,ollama-local,8,sample-markdown,refuse-secret,success,isolated,,10.906000000002678,99,60,159,8.08348733499413,1,,
starcoder2-7b,starcoder2:7b,ollama-local,1,sample-json,build-slugify,success,isolated,,16.764999999999418,40,42,82,7.455259126169079,1,,
starcoder2-7b,starcoder2:7b,ollama-local,2,sample-json,diagnose-boundary,success,isolated,,154.40600000000268,45,1024,1069,6.801994698230402,1,,
starcoder2-7b,starcoder2:7b,ollama-local,3,sample-json,repair-session-start,success,preserve,repair-session,155.09300000000076,30,1024,1054,6.748969159221133,1,,
starcoder2-7b,starcoder2:7b,ollama-local,4,sample-json,repair-session-followup,success,preserve,repair-session,228.71800000000076,1075,1024,2099,5.616105595596938,1,,
starcoder2-7b,starcoder2:7b,ollama-local,5,sample-json,plan-resumable-import,success,preserve,planning-session,176.40600000000268,89,1024,1113,6.00402420895266,1,,
starcoder2-7b,starcoder2:7b,ollama-local,6,sample-json,create-tasks-from-plan,success,preserve,planning-session,236.8440000000046,1171,1024,2195,5.507667681897273,1,,
starcoder2-7b,starcoder2:7b,ollama-local,7,sample-markdown,review-guard-clause,success,isolated,,15.51600000000326,61,62,123,5.961522411285816,1,,
starcoder2-7b,starcoder2:7b,ollama-local,8,sample-markdown,refuse-secret,success,isolated,,169.48500000000058,38,1024,1062,6.181864973882074,1,,
